user_name,Repo_name,star,user_repo_url
CSSEGISandData,COVID-19,29000,https://www.github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,6900,https://www.github.com/covid19india/covid19india-react
nytimes,covid-19-data,6900,https://www.github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6400,https://www.github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,5400,https://www.github.com/owid/covid-19-data
pcm-dpc,COVID-19,3900,https://www.github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2800,https://www.github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2400,https://www.github.com/disease-sh/API
geohot,corona,2200,https://www.github.com/geohot/corona
WorldHealthOrganization,app,2100,https://www.github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,1900,https://www.github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,1900,https://www.github.com/ahmadawais/corona-cli
github,covid19-dashboard,1600,https://www.github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,1600,https://www.github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1500,https://www.github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1500,https://www.github.com/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,1400,https://www.github.com/neherlab/covid19_scenarios
chandrikadeb7,Face-Mask-Detection,1300,https://www.github.com/chandrikadeb7/Face-Mask-Detection
covidpass-org,covidpass,1200,https://www.github.com/covidpass-org/covidpass
pomber,covid19,1200,https://www.github.com/pomber/covid19
chrismattmann,tika-python,1200,https://www.github.com/chrismattmann/tika-python
datasets,covid-19,1200,https://www.github.com/datasets/covid-19
FoldingAtHome,coronavirus,1100,https://www.github.com/FoldingAtHome/coronavirus
lindawangg,COVID-Net,1100,https://www.github.com/lindawangg/COVID-Net
UCSD-AI4H,COVID-CT,980,https://www.github.com/UCSD-AI4H/COVID-CT
cirosantilli,china-dictatorship,942,https://www.github.com/cirosantilli/china-dictatorship
ImperialCollegeLondon,covid19model,940,https://www.github.com/ImperialCollegeLondon/covid19model
MoH-Malaysia,covid19-public,930,https://www.github.com/MoH-Malaysia/covid19-public
nychealth,coronavirus-data,922,https://www.github.com/nychealth/coronavirus-data
makers-for-life,makair,776,https://www.github.com/makers-for-life/makair
