user_name,Repo_name,star,user_repo_url
serverless,serverless,43200,https://www.github.com/serverless/serverless
localstack,localstack,42500,https://www.github.com/localstack/localstack
bregman-arie,devops-exercises,28100,https://www.github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,23400,https://www.github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,13200,https://www.github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13000,https://www.github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,12700,https://www.github.com/aws/aws-cli
kubernetes-sigs,kubespray,12600,https://www.github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,10600,https://www.github.com/donnemartin/awesome-aws
mozilla,sops,10400,https://www.github.com/mozilla/sops
apereo,cas,9600,https://www.github.com/apereo/cas
aws,chalice,9100,https://www.github.com/aws/chalice
aws,aws-cdk,9000,https://www.github.com/aws/aws-cdk
caprover,caprover,8900,https://www.github.com/caprover/caprover
aws-amplify,amplify-js,8800,https://www.github.com/aws-amplify/amplify-js
aws,serverless-application-model,8700,https://www.github.com/aws/serverless-application-model
apex,up,8600,https://www.github.com/apex/up
google,go-cloud,8500,https://www.github.com/google/go-cloud
angristan,openvpn-install,8400,https://www.github.com/angristan/openvpn-install
GoogleCloudPlatform,terraformer,8200,https://www.github.com/GoogleCloudPlatform/terraformer
aws,aws-sdk-go,7800,https://www.github.com/aws/aws-sdk-go
serverless-stack,sst,7800,https://www.github.com/serverless-stack/sst
infracost,infracost,7600,https://www.github.com/infracost/infracost
hashicorp,terraform-provider-aws,7600,https://www.github.com/hashicorp/terraform-provider-aws
boto,boto3,7500,https://www.github.com/boto/boto3
aws,amazon-sagemaker-examples,7200,https://www.github.com/aws/amazon-sagemaker-examples
aws,aws-sdk-js,7100,https://www.github.com/aws/aws-sdk-js
awslabs,aws-shell,6600,https://www.github.com/awslabs/aws-shell
99designs,aws-vault,6500,https://www.github.com/99designs/aws-vault
prowler-cloud,prowler,6400,https://www.github.com/prowler-cloud/prowler
